n,q,best_value,candidate_value,difference
4,-2.0,5.249999999871,5.250000000000,-1.285194173306e-10
4,-1.5,3.645833333303,3.645833333333,-3.074518417634e-11
4,-1.0,2.333333333322,2.333333333333,-1.153344086902e-11
4,-0.5,1.312499999968,1.312500000000,-3.180677943249e-11
4,-0.25,1.062500000000,1.062500000000,-2.884359417976e-13
5,-2.0,5.849999999970,5.850000000000,-3.025490968867e-11
5,-1.5,4.062499999991,4.062500000000,-9.409362178303e-12
5,-1.0,2.599999999996,2.600000000000,-3.993250174972e-12
5,-0.5,1.462499999992,1.462500000000,-7.558842440858e-12
5,-0.25,1.062499999991,1.062500000000,-9.098721776013e-12
6,-2.0,6.299999999988,6.300000000000,-1.221600598456e-11
6,-1.5,4.374999999996,4.375000000000,-4.235722883550e-12
6,-1.0,2.799999999998,2.800000000000,-1.883382338974e-12
6,-0.5,1.574999999997,1.575000000000,-3.060218745077e-12
6,-0.25,1.093749999939,1.093750000000,-6.106959382635e-11
7,-2.0,6.642857142851,6.642857142857,-6.605382907310e-12
7,-1.5,4.613095238093,4.613095238095,-2.494893180938e-12
7,-1.0,2.952380952380,2.952380952381,-1.220357148668e-12
7,-0.5,1.660714285713,1.660714285714,-1.685540595986e-12
7,-0.25,1.153273809506,1.153273809524,-1.766142787574e-11
8,-2.0,6.910714285710,6.910714285714,-4.138911435803e-12
8,-1.5,4.799107142855,4.799107142857,-1.677769034814e-12
8,-1.0,3.071428571428,3.071428571429,-8.224532166423e-13
8,-0.5,1.727678571428,1.727678571429,-1.038946706444e-12
8,-0.25,1.199776785706,1.199776785714,-8.088418823604e-12
9,-2.0,7.124999999997,7.125000000000,-3.226752198771e-12
9,-1.5,4.947916666665,4.947916666667,-1.257660642295e-12
9,-1.0,3.166666666666,3.166666666667,-5.910827383104e-13
9,-0.5,1.781249999999,1.781250000000,-7.296385717837e-13
9,-0.25,1.236979166662,1.236979166667,-4.535927189409e-12
10,-2.0,7.299999999998,7.300000000000,-2.202682480856e-12
10,-1.5,5.069444444443,5.069444444444,-9.690026558928e-13
10,-1.0,3.244444444444,3.244444444444,-4.987121826616e-13
10,-0.5,1.824999999999,1.825000000000,-5.739853037312e-13
10,-0.25,1.267361111108,1.267361111111,-2.956523914577e-12
